unity_time	capture_time_ns	frame_number	gaze_validity_L	gaze_validity_R	gaze_validity_C	gaze_origin_L.x	gaze_origin_L.y	gaze_origin_L.z	gaze_origin_R.x	gaze_origin_R.y	gaze_origin_R.z	gaze_origin_C.x	gaze_origin_C.y	gaze_origin_C.z	gaze_direct_L.x	gaze_direct_L.y	gaze_direct_L.z	gaze_direct_R.x	gaze_direct_R.y	gaze_direct_R.z	gaze_direct_C.x	gaze_direct_C.y	gaze_direct_C.z	focus_distance	focus_stability	IPD_mm	left_pupil_mm	left_iris_mm	left_ratio	right_pupil_mm	right_iris_mm	right_ratio	fixationPoint.x	fixationPoint.y	fixationPoint.z	gaze_contingency_L.x	gaze_contingency_L.y	gaze_contingency_L.z	gaze_contingency_R.x	gaze_contingency_R.y	gaze_contingency_R.z	gaze_contingency_C.x	gaze_contingency_C.y	gaze_contingency_C.z
7.8348	1000676832571946600	199900	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12426	-0.04814	0.99108	-0.15178	-0.04796	0.98725	0.00077	-0.04852	0.99882	0.23520	0.10356	61.15000	2.38319	6.32240	0.37694	2.32472	6.19585	0.37521	-0.15050	0.31855	-0.34298	-0.80009	0.23275	0.04706	-0.88082	0.21988	-0.14693	-0.84340	0.22607	-0.03273
7.8348	1000676832576996100	199901	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12357	-0.04866	0.99114	-0.15179	-0.04847	0.98722	0.00043	-0.04904	0.99880	0.23579	0.04210	61.15000	2.38319	6.32240	0.37694	2.32472	6.19585	0.37521	-0.15105	0.31835	-0.34282	-0.80037	0.23218	0.04647	-0.88075	0.21936	-0.14693	-0.84347	0.22553	-0.03304
7.8426	1000676832582013100	199902	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12292	-0.04927	0.99119	-0.15178	-0.04907	0.98719	0.00018	-0.04965	0.99877	0.23637	0.03771	61.15000	2.38432	6.32240	0.37712	2.32605	6.19585	0.37542	-0.15159	0.31796	-0.34262	-0.80067	0.23120	0.04583	-0.88069	0.21847	-0.14701	-0.84352	0.22459	-0.03335
7.8529	1000676832587021200	199903	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12232	-0.04997	0.99123	-0.15175	-0.04977	0.98717	-0.00005	-0.05035	0.99873	0.23693	0.02989	61.15000	2.38628	6.32240	0.37743	2.32875	6.19585	0.37586	-0.15211	0.31768	-0.34239	-0.80084	0.23026	0.04543	-0.88056	0.21759	-0.14685	-0.84349	0.22368	-0.03344
7.8529	1000676832592046400	199904	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12183	-0.05073	0.99125	-0.15169	-0.05052	0.98714	-0.00030	-0.05111	0.99869	0.23741	0.13320	61.15000	2.38708	6.32240	0.37756	2.32977	6.19585	0.37602	-0.15255	0.31743	-0.34224	-0.80099	0.22948	0.04502	-0.88044	0.21686	-0.14679	-0.84348	0.22291	-0.03366
7.8641	1000676832597053700	199905	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12196	-0.05140	0.99120	-0.15162	-0.05118	0.98711	-0.00007	-0.05178	0.99866	0.23735	0.00000	61.15000	2.38866	6.32240	0.37781	2.33157	6.19585	0.37631	-0.15249	0.31725	-0.34221	-0.80088	0.22873	0.04511	-0.88038	0.21614	-0.14675	-0.84334	0.22218	-0.03348
7.8641	1000676832602061000	199906	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12202	-0.05215	0.99116	-0.15159	-0.05194	0.98708	-0.00030	-0.05254	0.99862	0.23733	0.00000	61.15000	2.38866	6.32240	0.37781	2.33157	6.19585	0.37631	-0.15247	0.31707	-0.34227	-0.80075	0.22799	0.04516	-0.88027	0.21540	-0.14672	-0.84333	0.22141	-0.03368
7.8641	1000676832607068300	199907	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12210	-0.05280	0.99111	-0.15154	-0.05259	0.98705	-0.00077	-0.05320	0.99858	0.23730	0.00000	61.15000	2.38866	6.32240	0.37781	2.33157	6.19585	0.37631	-0.15247	0.31691	-0.34238	-0.80061	0.22735	0.04523	-0.88016	0.21475	-0.14667	-0.84342	0.22073	-0.03410
7.8756	1000676832612075600	199908	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12192	-0.05368	0.99109	-0.15148	-0.05346	0.98701	-0.00161	-0.05408	0.99854	0.23751	0.00000	61.15000	2.38953	6.32240	0.37795	2.33237	6.19585	0.37644	-0.15273	0.31664	-0.34241	-0.80048	0.22633	0.04534	-0.87997	0.21376	-0.14632	-0.84355	0.21967	-0.03460
7.8867	1000676832617079200	199909	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12239	-0.05408	0.99101	-0.15141	-0.05386	0.98700	-0.00130	-0.05449	0.99851	0.23716	0.00000	61.15000	2.39063	6.32240	0.37812	2.33315	6.19585	0.37657	-0.15244	0.31656	-0.34248	-0.80019	0.22601	0.04586	-0.87993	0.21336	-0.14612	-0.84339	0.21931	-0.03420
